star,star_data,comment
还行,2021-10-20 08:42:54,他说，他说，她说，并为事情画上句号。这个想法是有了，可是拍得也太偷懒了，从镜头语言上几乎没有展现视点的不同，只是用事实细节、演员表演来体现女性与男性对一场强奸及其前因后果的认知差异，完全没有通过视听来从生理层面剖析身体和心理体验差异。讲述者变了，作为观众的眼睛的摄影机却没变，甚至机位都复制粘贴，那观众与这三个叙述者的距离又能怎么变化？要是缺少在此类案件中应将更相信女性作为权宜之计的共识，那单凭三段的顺序并不能真的将讲述真相的权利交给女性、使女性的叙述更有说服力吧？只能强加一星以示我依旧鼓励 Ridley Scott 几十年坚持不懈地支持性别平等。
推荐,2021-09-11 07:58:25,4.5 中世纪性侵案件，以罗生门的形式叙述每个当事人主观视角的事情真相。只有从女性视角，你才能清晰地看到她只是父亲的交易筹码、丈夫的生育工具与性侵者的猎物。最后的那场决斗实在太惊险揪心了，因为你知道她的生死命运，只是由两个拼死争斗权力与自身面子的男人相差毫厘的胜负决定，而与正义无关。
力荐,2021-09-11 23:52:13,"老雷亲手通过对比告诉你其实某些爽文版的爱情故事，只是来源于一种虚假自负的讲述视角而已
今晚要点一杯marguerite🥂"
推荐,2021-10-21 00:39:59,看到朱迪科摩被强奸的戏份我后排的摩洛哥男人哈哈大笑 一种和电影的恐怖互文
力荐,2021-09-10 17:45:31,4.5。胜利的决斗是属于男人的荣光，无人在意受侮辱的女性，但斯科特给予了女性最大的关怀，《罗生门》式的结构设计精巧，每个chapter还原的都是部分真相，但从各版本差别中更能看出问题所在。亚当视角下女性的反抗也是自愿；达蒙视角女性是权力的工具；只有玛格丽特，在受损害后一无所有
力荐,2021-09-10 19:09:33,威尼斯非竞赛单元全球首映，超爱雷爵爷的《天国王朝》，没想到有生之年还能看到他再次指导历史题材电影。男人的行为永远是为了争夺脸面，为了宣示权利，无人关心受伤害的女性，她的发声遭到质疑，她的命运身不由己。
力荐,2021-10-15 13:30:43,比起戳破强奸犯的谎言，这个片子更精彩的部分是戳破丈夫的谎言。嘲讽拉满，特别悲凉的地方又特别好笑。女主演得太好了！
推荐,2021-09-11 07:11:28,恳请朋友们坚持看完！俩男主视角之后的女性视角叙事，将这部电影拉高了好几个度。我也是看到后来才明白，原来这竟是一部优秀的女权主义电影！#Venice
力荐,2021-09-11 18:29:23,三位男演员的对手戏构成主要冲突，看优秀演员配合真的非常过瘾，任意搭配都充满惊喜，但故事核心以及最吸引人的部分无疑是jodie饰演的Margerite。不同视角的挑战在于如何以不同方式表达具有相同对话的场景，男性制造矛盾，jodie则用自己独到的见解填补细节。她跟随观察者的变化切换人物性格，实现男性凝视和真相探寻。整部电影如同画面呈现的法国中世纪灰蒙阴暗的景象一般压抑沉重，Margerite是暗调里唯一的亮色。她灵动、智慧、善良，在荒谬制度中寻求公正，在看透虚伪时的破碎和坚强又让人怜惜。场景恢弘壮观，主要人物塑造丰满，通过男性凝视、性暴力和司法不公为女性发声，152分钟的时长做到面面俱到的同时虽然相对减少了女主的戏份没有着重刻画女性意识，但我想没有人会忽视jodie comer。
推荐,2021-09-10 20:17:37,我的麻省竹马CP能收获一尊最佳改编剧本小金人吗？Rosebud的经典模式让这个古老的故事有了充满女性色彩的新生。结尾的戏处理得多好啊：这场决斗的胜利对男人来说意味着光荣和欢呼，对女人来说不过是一场叹息罢了。
力荐,2021-10-15 14:25:45,"三个人物，三个角度呈现三段故事，真相只有一个！
老雷还是老辣，借位运用了微妙的角色视角，从三个层面剖析真相，有别于《罗生门》天差地别对”真相“的诠释，《最后的决斗》用三个角色的故事，去叙说真相对于被害者，加害者，受害者之间的利益权衡。
决斗戏份因为此前全部的情绪铺垫和积压，两男人对打的时候看得人血脉膨胀，感觉自己就像在现场！
影片最后升华到女性对于不公不义，以及争取真相和公平正义的思考，影片根据真实故事改编，背景虽然放在中世纪的法国，但却映照了当今女性正在面临的困境和呐喊和抗争。
虽然这可能并不是真正意义上的女性题材电影，但老雷的作品从来不缺乏坚强，勇敢无畏的女性，《最后的决斗》再到让我再次感受到了《末路狂花》的那股狠劲。
PS：被朱迪·科默美到！"
力荐,2021-10-16 18:50:32,很耐得住性子，分三个视角去还原每个人眼里所谓的真相，但真相从来只有一个，只有女主人才真正掌有。前两章节真的非常催眠，意想不到地在第三章开始了无限的窒息、痛苦和绝望。在她的对比复述中你才会真正看到，男性有多自负愚妄，女性有多可悲无助，被羞辱被质疑被针对，甚至胜负都与她无关，至始至终都只是一个工具，为男性恢复、巩固荣耀名誉的工具。决斗部分拍得很精彩，这场命运的赌博看得令人提心吊胆、咬紧牙关，内心抑制不住地想要喊“刺死他”，不只是因为无耻强奸者的可恨，更是因为失败后受害者的女性所要承受的惨痛代价。（朱迪科莫演技最佳
推荐,2021-10-14 21:55:55,伪罗生门格式记叙的中世纪强奸案；两个男主视角的故事色调阴冷压抑，影片第一抹亮色来自真实视角中玛格丽特照顾庄园、为自己而活的片段；两场强奸戏不露骨但令人窒息；结尾决斗处理得极好，丑陋而粗野一如两个男主的嘴脸；由于观众是现代人视角，和电影里的角色似乎有着不可避免的距离感，一定程度上削弱了主题表达；期待《古驰家族》
